type,title,location,bedroom,bathroom,size_sqm,price,type_encoded,location_complexity,location_encoded,room_density,bed_bath_ratio,size_category
Duplex,Prime Location Duplex Fully Finished With A\C ,"Park View, North Investors Area, New Cairo City, Cairo",4.0,4,345.0,6850000.0,5,4,589,0.011594202898550725,0.8,4
Villa,Town house resale at Mivida Emaar with best price,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,285.0,10000000.0,8,5,488,0.010526315789473684,0.75,3
Apartment,Lake View Residence - Apartment | Prime Location,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,210.0,5700000.0,3,5,449,0.014285714285714285,0.75,3
Townhouse,Best Penthouse for sale in villette ( sky conds ),"La Vista City, New Capital Compounds, New Capital City, Cairo",4.0,4,230.0,7510000.0,6,4,447,0.017391304347826087,0.8,3
Penthouse,2nd Floor | Fully Finished | Lowest Price |Parking,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,6,284.0,8511300.0,7,5,776,0.017605633802816902,0.7142857142857143,3
Apartment,Amazing Delivered Villa  Below market price at CFC,"Tag Sultan, Ring Road, Cairo",3.0,2,172.0,3150000.0,3,3,727,0.01744186046511628,1.0,2
Villa,Under market Price Apart. In tag sultan for sale,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",5.0,4,250.0,3500000.0,8,4,242,0.02,1.0,3
Townhouse,Apartment with installments at Lake View Residence,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,220.0,6100000.0,6,5,731,0.01818181818181818,0.8,3
Apartment,0% DP over 9 y f.finished apartment for sale ,"Tag Sultan, Ring Road, Cairo",2.0,2,114.0,2278506.0,3,3,727,0.017543859649122806,0.6666666666666666,2
Apartment,Villa Modern  Hyde Park 327M under market price,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,204.0,4112700.0,3,5,449,0.014705882352941176,0.75,3
Apartment,Apartment 235m for sale  in Rehab                 ,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,3,172.0,5500000.0,3,5,583,0.023255813953488372,1.0,2
Villa,Finished | Ground + Garden | Overlooking Main Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,327.0,7346875.0,8,5,396,0.009174311926605505,0.75,4
Villa,For sale penthouse in mountain view hyde park 165m,"IL Bosco, New Capital Compounds, New Capital City, Cairo",4.0,3,330.0,4200000.0,8,4,399,0.012121212121212121,1.0,4
Apartment,Villa for sale immediate receipt in Settlement    ,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3.0,3,235.0,4500000.0,3,4,319,0.01276595744680851,0.75,3
Villa,Twin House With 60 % DP|3 Levels|Featured Location,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,3,777.0,16000000.0,8,5,776,0.005148005148005148,1.0,4
Apartment,Ground floor  in new Cairo - installments 15 years,"Tag Sultan, Ring Road, Cairo",1.0,2,124.0,2400000.0,3,3,727,0.008064516129032258,0.3333333333333333,2
Apartment,Villa for sale in the heart of Golden Square,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,185.0,3200000.0,3,5,396,0.016216216216216217,0.75,2
Penthouse,For Sale Duplex in Park View Over Landscape,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,2,165.0,2800000.0,7,5,534,0.01818181818181818,1.0,2
Villa,ST-Villa 312m immediate receipt - Mountain view,"Al Gezira St., South Investors Area, New Cairo City, Cairo",5.0,4,465.0,9200000.0,8,4,97,0.010752688172043012,1.0,4
Villa,"Villa for sale in Hyde Park, Fifth Settlement","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,6,320.0,14500000.0,8,5,396,0.0125,0.5714285714285714,4
Apartment,Own your apartment in RI8 Compound | New capital  ,"Oia, New Capital Compounds, New Capital City, Cairo",3.0,3,136.0,,3,4,563,0.022058823529411766,0.75,2
Apartment,For resale 125m apt ready to move1.286.000 CASH,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2.0,2,125.0,1286000.0,3,4,632,0.016,0.6666666666666666,2
Penthouse,Under Market Price Penthouse for sale at Sarai,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4.0,4,206.0,1950000.0,7,4,632,0.019417475728155338,0.8,3
Townhouse,Best Ready to move Townhouse in District 5 10% DP,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,4,258.0,10130000.0,6,5,272,0.015503875968992248,0.8,3
Penthouse,A great Pent house at  Hyde Park  for sale .      ,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,3,207.0,3500000.0,7,5,396,0.014492753623188406,0.75,3
Apartment,"Apartment 144m immediate delivery, Palm Hills, ","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2.0,2,144.0,3440000.0,3,5,583,0.013888888888888888,0.6666666666666666,2
Apartment,Block 6 | Fully Finished | ACs | Main Park View ,"Tag Sultan, Ring Road, Cairo",3.0,3,142.0,3250000.0,3,3,727,0.02112676056338028,0.75,2
Villa,For sale penthouse in mountain view hyde park   ..,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",4.0,4,345.0,3500000.0,8,4,90,0.011594202898550725,0.8,4
Penthouse,Ismailia Square Masr El Gedida Apartment for Sale,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3.0,2,164.0,3000000.0,7,5,534,0.018292682926829267,1.0,2
Apartment,Penthouse with installment 9 years in New Capital,"Ismailia Square, El Ismailia Square, Heliopolis - Masr El Gedida, Cairo",3.0,3,235.0,3300000.0,3,4,415,0.01276595744680851,0.75,3
Penthouse,Villa for sale in the 90s with a lake view,"IL Bosco, New Capital Compounds, New Capital City, Cairo",4.0,4,165.0,2600000.0,7,4,399,0.024242424242424242,0.8,2
Villa,IVilla garden middle 287+70m at MVHP semi finished,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5.0,4,344.0,1000000.0,8,5,662,0.014534883720930232,1.0,4
Villa,buy Luxury apartment for immediate delivery260 m²,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4.0,3,287.0,4850000.0,8,5,534,0.013937282229965157,1.0,3
